algorithm,operation,hash_backend,keccak_rounds,fips_compliant,n_iterations,median_cycles,q1_cycles,q3_cycles,iqr_cycles,p95_cycles,p99_cycles,min_cycles,max_cycles,arith_mean_cycles,geo_mean_cycles,std_dev_cycles,cov_pct,cpb,wall_ns_mean,pk_bytes,sk_bytes,ct_or_sig_bytes,ss_bytes,nist_level,stack_hwm_bytes,peak_rss_delta_kb,peak_rss_after_kb,heap_delta_bytes,energy_proxy_units,energy_proxy_per_byte,est_energy_uj,est_energy_uj_per_byte,energy_calibrated,edp_cycle_ns
ML-KEM-512,KeyGen,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,220,210,230,20,279,881,207,104757,253.95,230.73,1077.17,424.1604,0.090461,11371.07,800,1632,768,32,1,0,0,8908,0,220,0.0905,0.2200,0.000090,0,2501634.32
ML-KEM-512,Encaps,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,230,229,236,7,251,333,226,7723,238.54,236.55,82.72,34.6759,0.287500,10150.73,800,1632,768,32,1,0,0,9036,0,230,0.2875,0.2300,0.000287,0,2334667.53
ML-KEM-512,Decaps,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,277,270,278,8,286,436,267,1664,280.25,278.90,37.56,13.4031,0.346250,11939.63,800,1632,768,32,1,0,0,9164,0,277,0.3463,0.2770,0.000346,0,3307278.04
ML-KEM-768,KeyGen,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,355,346,364,18,449,614,342,2847,367.05,364.05,63.24,17.2296,0.099051,15620.85,1184,2400,1088,32,3,0,0,9164,0,355,0.0991,0.3550,0.000099,0,5545400.61
ML-KEM-768,Encaps,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,371,363,373,10,386,572,359,5045,376.94,374.65,71.58,18.9896,0.331250,16039.89,1184,2400,1088,32,3,0,0,9164,0,371,0.3312,0.3710,0.000331,0,5950800.12
ML-KEM-768,Decaps,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,437,435,438,3,462,639,422,7667,444.50,441.83,97.63,21.9635,0.390179,18907.32,1184,2400,1088,32,3,0,0,9164,0,437,0.3902,0.4370,0.000390,0,8262500.81
ML-KEM-1024,KeyGen,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,541,539,552,13,595,778,521,3415,552.62,550.50,62.44,11.2989,0.114231,23509.74,1568,3168,1568,32,5,0,0,9164,0,541,0.1142,0.5410,0.000114,0,12718771.07
ML-KEM-1024,Encaps,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,563,562,565,3,609,842,543,3270,572.52,570.33,63.40,11.0741,0.351875,24338.30,1568,3168,1568,32,5,0,0,9164,0,563,0.3519,0.5630,0.000352,0,13702463.80
ML-KEM-1024,Decaps,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,656,655,658,3,721,945,634,6198,668.39,665.61,89.15,13.3373,0.410000,28421.51,1568,3168,1568,32,5,0,0,9164,0,656,0.4100,0.6560,0.000410,0,18644509.51
ML-DSA-44,KeyGen,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,833,831,835,4,953,1173,756,3461,846.31,843.39,85.97,10.1580,0.215134,35999.03,1312,2560,2420,0,2,0,0,9260,0,833,0.2151,0.8330,0.000215,0,29987188.57
ML-DSA-44,Sign,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,1582,1258,2355,1098,4022,5863,977,10340,1947.38,1739.35,1054.98,54.1745,0.653719,82782.39,1312,2560,2420,0,2,0,0,9260,0,1582,0.6537,1.5820,0.000654,0,130961748.42
ML-DSA-44,Verify,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,797,796,800,4,937,1345,770,8748,826.18,817.29,192.75,23.3302,0.329339,35113.50,1312,2560,2420,0,2,0,0,9260,0,797,0.3293,0.7970,0.000329,0,27985461.33
ML-DSA-65,KeyGen,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,1455,1453,1457,4,1665,1954,1408,5101,1479.19,1476.11,111.53,7.5397,0.243148,62988.56,1952,4032,3309,0,3,0,0,9260,0,1455,0.2431,1.4550,0.000243,0,91648347.82
ML-DSA-65,Sign,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,2579,1942,3649,1707,6233,8767,1566,19158,3046.04,2741.68,1598.62,52.4819,0.779390,129563.97,1952,4032,3309,0,3,0,0,9296,0,2579,0.7794,2.5790,0.000779,0,334145468.31
ML-DSA-65,Verify,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,1355,1354,1357,3,1555,1843,1315,4658,1378.56,1375.69,103.27,7.4912,0.409489,58616.34,1952,4032,3309,0,3,0,0,9296,0,1355,0.4095,1.3550,0.000409,0,79425145.31
ML-DSA-87,KeyGen,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,2501,2498,2506,8,2822,3225,2403,7262,2545.49,2541.11,171.27,6.7284,0.334001,108204.27,2592,4896,4627,0,5,0,0,9296,0,2501,0.3340,2.5010,0.000334,0,270618871.52
ML-DSA-87,Sign,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,3784,3216,4917,1701,7799,10524,2767,20626,4322.55,4060.53,1730.01,40.0230,0.817809,183680.05,2592,4896,4627,0,5,0,0,9320,0,3784,0.8178,3.7840,0.000818,0,695045298.98
ML-DSA-87,Verify,"SHAKE (FIPS 202, n_r=24, FIPS-COMPLIANT)",24,1,10000,2368,2366,2370,4,2648,3076,2299,12901,2411.33,2406.53,195.15,8.0930,0.511779,102507.17,2592,4896,4627,0,5,0,0,9320,0,2368,0.5118,2.3680,0.000512,0,242736985.43
ML-KEM-512-TurboSHAKE,KeyGen,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,398,386,420,34,512,1114,366,14582,428.32,417.28,203.78,47.5768,0.163651,18356.61,800,1632,768,32,1,0,0,4468,0,398,0.1637,0.3980,0.000164,0,7305930.26
ML-KEM-512-TurboSHAKE,Encaps,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,452,450,459,9,487,691,435,5979,462.43,459.80,80.86,17.4859,0.565000,19676.68,800,1632,768,32,1,0,0,4468,0,452,0.5650,0.4520,0.000565,0,8893861.08
ML-KEM-512-TurboSHAKE,Decaps,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,570,569,571,2,591,809,551,3454,578.03,576.03,64.81,11.2116,0.712500,24593.99,800,1632,768,32,1,0,0,4596,0,570,0.7125,0.5700,0.000712,0,14018575.55
ML-KEM-768-TurboSHAKE,KeyGen,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,660,654,668,14,793,950,625,2633,675.91,673.34,71.00,10.5044,0.184152,28741.30,1184,2400,1088,32,3,0,0,4736,0,660,0.1842,0.6600,0.000184,0,18969258.46
ML-KEM-768-TurboSHAKE,Encaps,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,711,708,717,9,832,1056,686,2791,727.30,724.48,79.02,10.8644,0.634821,30928.98,1184,2400,1088,32,3,0,0,4736,0,711,0.6348,0.7110,0.000635,0,21990505.21
ML-KEM-768-TurboSHAKE,Decaps,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,856,855,858,3,979,1200,829,8490,873.89,870.47,117.19,13.4097,0.764286,37166.42,1184,2400,1088,32,3,0,0,4864,0,856,0.7643,0.8560,0.000764,0,31814457.75
ML-KEM-1024-TurboSHAKE,KeyGen,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,1016,1009,1023,14,1160,1418,971,3892,1035.69,1032.74,93.92,9.0684,0.214527,44033.34,1568,3168,1568,32,5,0,0,4864,0,1016,0.2145,1.0160,0.000215,0,44737873.64
ML-KEM-1024-TurboSHAKE,Encaps,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,1033,1031,1038,7,1175,1439,999,4296,1052.43,1049.69,92.33,8.7726,0.645625,44747.09,1568,3168,1568,32,5,0,0,4864,0,1033,0.6456,1.0330,0.000646,0,46223740.66
ML-KEM-1024-TurboSHAKE,Decaps,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,1213,1212,1215,3,1411,1670,1176,3337,1236.58,1233.84,93.30,7.5453,0.758125,52582.10,1568,3168,1568,32,5,0,0,4876,0,1213,0.7581,1.2130,0.000758,0,63782082.57
ML-DSA-44-TURBOSHAKE,KeyGen,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,957,950,965,15,1144,1531,909,9844,988.04,979.56,201.93,20.4373,0.247159,42023.18,1312,2560,2420,0,2,0,0,4876,0,957,0.2472,0.9570,0.000247,0,40216186.71
ML-DSA-44-TURBOSHAKE,Sign,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,3736,2687,6080,3393,11313,16035,1881,30691,4839.33,4051.60,3235.60,66.8606,1.543595,205361.83,1312,2560,2420,0,2,0,0,4876,0,3736,1.5436,3.7355,0.001544,0,767129123.81
ML-DSA-44-TURBOSHAKE,Verify,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,1074,1073,1077,4,1207,1452,1066,3684,1094.15,1091.66,87.82,8.0266,0.443802,46531.91,1312,2560,2420,0,2,0,0,4884,0,1074,0.4438,1.0740,0.000444,0,49975273.38
ML-DSA-65-TURBOSHAKE,KeyGen,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,1864,1856,1874,18,2125,2438,1790,7460,1898.87,1895.02,143.41,7.5524,0.311497,80714.49,1952,4032,3309,0,3,0,0,4884,0,1864,0.3115,1.8640,0.000311,0,150451817.56
ML-DSA-65-TURBOSHAKE,Sign,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,6281,4026,10064,6038,19409,28225,2875,50458,7985.19,6561.30,5603.20,70.1700,1.898157,339908.58,1952,4032,3309,0,3,0,0,4884,0,6281,1.8982,6.2810,0.001898,0,2134965817.36
ML-DSA-65-TURBOSHAKE,Verify,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,1711,1708,1715,7,1939,2248,1700,9839,1743.46,1739.98,139.14,7.9804,0.517075,74103.65,1952,4032,3309,0,3,0,0,4912,0,1711,0.5171,1.7110,0.000517,0,126791340.53
ML-DSA-87-TURBOSHAKE,KeyGen,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,2564,2554,2578,24,2903,3296,2523,6158,2613.20,2608.81,169.21,6.4752,0.342415,111058.26,2592,4896,4627,0,5,0,0,4912,0,2564,0.3424,2.5640,0.000342,0,284753372.74
ML-DSA-87-TURBOSHAKE,Sign,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,7660,5148,11696,6549,21300,30153,4309,71377,9493.31,8182.56,5864.67,61.7769,1.655500,403385.90,2592,4896,4627,0,5,0,0,4912,0,7660,1.6555,7.6600,0.001656,0,3089935957.23
ML-DSA-87-TURBOSHAKE,Verify,"TurboSHAKE (RFC 9861, n_r=12, NON-FIPS)",12,0,10000,2728,2723,2736,13,3114,3521,2712,11209,2788.42,2782.43,223.11,8.0012,0.589583,118551.76,2592,4896,4627,0,5,0,0,4944,0,2728,0.5896,2.7280,0.000590,0,323409190.64
ML-KEM-512-K12,KeyGen,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,397,390,404,14,455,1057,373,3832,417.86,409.84,129.90,31.0869,0.163240,17811.64,800,1632,768,32,1,0,0,4276,0,397,0.1632,0.3970,0.000163,0,7071219.77
ML-KEM-512-K12,Encaps,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,460,459,467,8,512,704,443,3270,472.66,470.35,65.03,13.7591,0.575000,20106.20,800,1632,768,32,1,0,0,4276,0,460,0.5750,0.4600,0.000575,0,9248854.21
ML-KEM-512-K12,Decaps,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,578,577,579,2,634,819,557,3964,589.96,587.71,72.35,12.2631,0.722500,25106.09,800,1632,768,32,1,0,0,4404,0,578,0.7225,0.5780,0.000722,0,14511318.46
ML-KEM-768-K12,KeyGen,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,667,661,672,11,726,960,634,3734,678.86,676.59,69.25,10.2014,0.186105,28864.68,1184,2400,1088,32,3,0,0,4540,0,667,0.1861,0.6670,0.000186,0,19252740.16
ML-KEM-768-K12,Encaps,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,721,719,727,8,808,1038,715,3629,737.51,734.93,79.29,10.7516,0.643750,31370.36,1184,2400,1088,32,3,0,0,4540,0,721,0.6438,0.7210,0.000644,0,22618028.77
ML-KEM-768-K12,Decaps,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,867,866,868,2,983,1212,841,3290,882.37,880.16,74.58,8.4517,0.774107,37519.91,1184,2400,1088,32,3,0,0,4668,0,867,0.7741,0.8670,0.000774,0,32529764.57
ML-KEM-1024-K12,KeyGen,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,1028,1022,1035,13,1175,1427,1002,3491,1046.24,1043.79,83.03,7.9357,0.217061,44486.96,1568,3168,1568,32,5,0,0,4668,0,1028,0.2171,1.0280,0.000217,0,45732599.71
ML-KEM-1024-K12,Encaps,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,1049,1047,1054,7,1187,1439,1041,4132,1068.59,1066.02,90.14,8.4350,0.655625,45431.95,1568,3168,1568,32,5,0,0,4668,0,1049,0.6556,1.0490,0.000656,0,47658114.40
ML-KEM-1024-K12,Decaps,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,1229,1227,1231,4,1415,1651,1221,3659,1252.57,1249.98,92.84,7.4118,0.768125,53273.85,1568,3168,1568,32,5,0,0,4680,0,1229,0.7681,1.2290,0.000768,0,65473558.09
ML-DSA-44-K12,KeyGen,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,974,968,981,13,1107,1357,945,3166,991.53,989.02,82.80,8.3504,0.251550,42599.86,1312,2560,2420,0,2,0,0,4680,0,974,0.2515,0.9740,0.000252,0,41492260.13
ML-DSA-44-K12,Sign,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,3774,2725,6158,3433,11739,16691,1951,39699,4919.85,4105.37,3348.02,68.0512,1.559298,208997.04,1312,2560,2420,0,2,0,0,4680,0,3774,1.5593,3.7735,0.001559,0,788650347.42
ML-DSA-44-K12,Verify,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,1089,1087,1091,4,1270,1516,1082,4075,1112.37,1109.40,96.95,8.7161,0.450000,47280.29,1312,2560,2420,0,2,0,0,4684,0,1089,0.4500,1.0890,0.000450,0,51488238.53
ML-DSA-65-K12,KeyGen,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,1882,1875,1893,18,2153,2464,1841,6776,1917.54,1913.78,139.15,7.2565,0.314505,81560.68,1952,4032,3309,0,3,0,0,4684,0,1882,0.3145,1.8820,0.000315,0,153497191.10
ML-DSA-65-K12,Sign,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,6308,3978,10053,6075,18757,28053,2900,67591,7957.85,6555.25,5578.51,70.1007,1.906467,337880.54,1952,4032,3309,0,3,0,0,4684,0,6308,1.9065,6.3085,0.001906,0,2131519379.02
ML-DSA-65-K12,Verify,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,1724,1722,1727,5,1943,2240,1714,9000,1753.60,1750.16,141.38,8.0623,0.521003,74590.02,1952,4032,3309,0,3,0,0,4716,0,1724,0.5210,1.7240,0.000521,0,128593201.03
ML-DSA-87-K12,KeyGen,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,2606,2597,2620,23,2956,3305,2566,6812,2656.98,2652.41,178.10,6.7031,0.348024,112924.15,2592,4896,4627,0,5,0,0,4716,0,2606,0.3480,2.6060,0.000348,0,294280334.90
ML-DSA-87-K12,Sign,"KangarooTwelve (RFC 9861, n_r=12 tree hash, NON-FIPS)",12,0,10000,7757,5140,11637,6497,21022,31813,4372,66291,9518.46,8219.00,5920.11,62.1960,1.676464,404648.72,2592,4896,4627,0,5,0,0,4716,0,7757,1.6765,7.7570,0.001676,0,3138860150.52
